identificación	fecha de coincidencia	País	Liga	Estación	Equipo local	Equipo visitante	árbitro	FTHG	FTAG	FTR
74556	15-08-25 19:00	Spain	LaLiga	2025/2026	Girona	Rayo Vallecano	Javier Alberola Rojas	1	3	A
74557	15-08-25 21:30	Spain	LaLiga	2025/2026	Villarreal	Oviedo	Alejandro Muñiz Ruiz	2	0	H
64389	16-08-25 19:30	Spain	LaLiga	2025/2026	Mallorca	Barcelona	José Luis Munuera Montero	0	3	A
64387	16-08-25 21:30	Spain	LaLiga	2025/2026	Alaves	Levante	Miguel Sesma Espinosa	2	1	H
64388	16-08-25 21:30	Spain	LaLiga	2025/2026	Valencia	Real Sociedad	José María Sánchez Martínez	1	1	D
64421	17-08-25 17:00	Spain	LaLiga	2025/2026	Celta Vigo	Getafe	Iosu Galech Apezteguia	0	2	A
64420	17-08-25 19:30	Spain	LaLiga	2025/2026	Ath Bilbao	Sevilla	Francisco Hernandez Maeso	3	2	H
64419	17-08-25 21:30	Spain	LaLiga	2025/2026	Espanyol	Atl. Madrid	Mateo Busquets Ferrer	2	1	H
64447	18-08-25 21:00	Spain	LaLiga	2025/2026	Elche	Betis	Victor Garcia Verdura	1	1	D
64474	19-08-25 21:00	Spain	LaLiga	2025/2026	Real Madrid	Osasuna	Adrian Cordero Vega	1	0	H
64490	22-08-25 21:30	Spain	LaLiga	2025/2026	Betis	Alaves	Miguel Angel Ortiz Arias	1	0	H
64570	23-08-25 17:00	Spain	LaLiga	2025/2026	Mallorca	Celta Vigo	Juan Guzman	1	1	D
64569	23-08-25 19:30	Spain	LaLiga	2025/2026	Atl. Madrid	Elche	César Soto Grado	1	1	D
64568	23-08-25 21:30	Spain	LaLiga	2025/2026	Levante	Barcelona	Alejandro Hernandez	2	3	A
64612	24-08-25 17:00	Spain	LaLiga	2025/2026	Osasuna	Valencia	Jesus Gil Manzano	1	0	H
64610	24-08-25 19:30	Spain	LaLiga	2025/2026	Real Sociedad	Espanyol	Alejandro Quintero Gonzalez	2	2	D
64611	24-08-25 19:30	Spain	LaLiga	2025/2026	Villarreal	Girona	Guillermo Cuadra Fernandez	5	0	H
64609	24-08-25 21:30	Spain	LaLiga	2025/2026	Oviedo	Real Madrid	Ricardo De Burgos Bengoetxea	0	3	A
64639	25-08-25 19:30	Spain	LaLiga	2025/2026	Ath Bilbao	Rayo Vallecano	Juan Martinez Munuera	1	0	H
64638	25-08-25 21:30	Spain	LaLiga	2025/2026	Sevilla	Getafe	Isidro Diaz de Mera Escuderos	1	2	A
64647	27-08-25 21:00	Spain	LaLiga	2025/2026	Celta Vigo	Betis	Jesus Gil Manzano	1	1	D
64666	29-08-25 19:30	Spain	LaLiga	2025/2026	Elche	Levante	Iosu Galech Apezteguia	2	0	H
64665	29-08-25 21:30	Spain	LaLiga	2025/2026	Valencia	Getafe	Francisco Hernandez Maeso	3	0	H
64747	30-08-25 17:00	Spain	LaLiga	2025/2026	Alaves	Atl. Madrid	Victor Garcia Verdura	1	1	D
64746	30-08-25 19:00	Spain	LaLiga	2025/2026	Oviedo	Real Sociedad	Adrian Cordero Vega	1	0	H
64745	30-08-25 19:30	Spain	LaLiga	2025/2026	Girona	Sevilla	Miguel Angel Ortiz Arias	0	2	A
64744	30-08-25 21:30	Spain	LaLiga	2025/2026	Real Madrid	Mallorca	José María Sánchez Martínez	2	1	H
64795	31-08-25 17:00	Spain	LaLiga	2025/2026	Celta Vigo	Villarreal	Alejandro Quintero Gonzalez	1	1	D
64794	31-08-25 19:00	Spain	LaLiga	2025/2026	Betis	Ath Bilbao	Isidro Diaz de Mera Escuderos	1	2	A
64793	31-08-25 19:30	Spain	LaLiga	2025/2026	Espanyol	Osasuna	Miguel Sesma Espinosa	1	0	H
64792	31-08-25 21:30	Spain	LaLiga	2025/2026	Rayo Vallecano	Barcelona	Mateo Busquets Ferrer	1	1	D
64899	12-09-25 21:00	Spain	LaLiga	2025/2026	Sevilla	Elche	Javier Alberola Rojas	2	2	D
64982	13-09-25 14:00	Spain	LaLiga	2025/2026	Getafe	Oviedo	Juan Guzman	2	0	H
64981	13-09-25 16:15	Spain	LaLiga	2025/2026	Real Sociedad	Real Madrid	Jesus Gil Manzano	1	2	A
64980	13-09-25 18:30	Spain	LaLiga	2025/2026	Ath Bilbao	Alaves	José María Sánchez Martínez	0	1	A
64979	13-09-25 21:00	Spain	LaLiga	2025/2026	Atl. Madrid	Villarreal	José Luis Munuera Montero	2	0	H
65029	14-09-25 14:00	Spain	LaLiga	2025/2026	Celta Vigo	Girona	Adrian Cordero Vega	1	1	D
65028	14-09-25 16:15	Spain	LaLiga	2025/2026	Levante	Betis	Alejandro Muñiz Ruiz	2	2	D
65027	14-09-25 18:30	Spain	LaLiga	2025/2026	Osasuna	Rayo Vallecano	César Soto Grado	2	0	H
65026	14-09-25 21:00	Spain	LaLiga	2025/2026	Barcelona	Valencia	Guillermo Cuadra Fernandez	6	0	H
65057	15-09-25 21:00	Spain	LaLiga	2025/2026	Espanyol	Mallorca	Alejandro Hernandez	3	2	H
65086	19-09-25 21:00	Spain	LaLiga	2025/2026	Betis	Real Sociedad	Mateo Busquets Ferrer	3	1	H
65167	20-09-25 14:00	Spain	LaLiga	2025/2026	Girona	Levante	Alejandro Quintero Gonzalez	0	4	A
65166	20-09-25 16:15	Spain	LaLiga	2025/2026	Real Madrid	Espanyol	Juan Martinez Munuera	2	0	H
65164	20-09-25 18:30	Spain	LaLiga	2025/2026	Alaves	Sevilla	Iosu Galech Apezteguia	1	2	A
65165	20-09-25 18:30	Spain	LaLiga	2025/2026	Villarreal	Osasuna	Isidro Diaz de Mera Escuderos	2	1	H
65163	20-09-25 21:00	Spain	LaLiga	2025/2026	Valencia	Ath Bilbao	Miguel Angel Ortiz Arias	2	0	H
65215	21-09-25 14:00	Spain	LaLiga	2025/2026	Rayo Vallecano	Celta Vigo	Victor Garcia Verdura	1	1	D
65214	21-09-25 16:15	Spain	LaLiga	2025/2026	Mallorca	Atl. Madrid	Francisco Hernandez Maeso	1	1	D
65213	21-09-25 18:30	Spain	LaLiga	2025/2026	Elche	Oviedo	Miguel Sesma Espinosa	1	0	H
